,cell_type_dc_sub_final
2,Breast cancer subtype 5
5,Macrophages
8,Breast cancer subtype 5
10,Macrophages
13,Breast cancer subtype 5
15,Macrophages
16,Macrophages
18,Macrophages
19,Macrophages
20,Macrophages
26,Fibroblasts
29,Breast cancer subtype 5
30,Macrophages
31,Macrophages
39,Breast cancer subtype 5
42,Macrophages
43,Macrophages
47,Macrophages
49,Breast cancer subtype 5
52,Macrophages
57,Macrophages
61,Macrophages
66,Breast cancer subtype 1
68,Breast cancer subtype 4
69,Breast cancer subtype 4
70,Breast myoepithelial cells
71,Breast cancer subtype 2
72,Breast cancer subtype 4
73,Endothelial cells
74,Fibroblasts
75,Breast cancer subtype 4
76,Breast myoepithelial cells
77,Breast cancer subtype 4
78,Breast cancer subtype 4
79,Breast cancer subtype 5
80,Breast cancer subtype 1
81,Breast cancer subtype 4
82,Breast cancer subtype 4
83,Breast cancer subtype 1
84,Breast cancer subtype 4
85,Breast cancer subtype 4
86,Breast cancer subtype 4
87,Breast cancer subtype 4
89,Breast cancer subtype 1
90,Breast cancer subtype 4
91,Breast cancer subtype 4
92,Breast cancer subtype 4
93,Breast cancer subtype 4
94,Breast cancer subtype 2
95,Breast cancer subtype 4
96,Breast cancer subtype 4
97,Breast cancer subtype 5
98,Breast cancer subtype 4
99,Breast cancer subtype 4
100,Breast cancer subtype 4
101,Breast cancer subtype 4
102,Breast cancer subtype 1
103,Breast cancer subtype 4
104,Breast cancer subtype 1
105,Breast cancer subtype 4
106,Breast cancer subtype 5
107,Breast cancer subtype 4
108,Breast cancer subtype 4
109,Breast cancer subtype 4
110,Breast cancer subtype 4
111,Breast cancer subtype 4
112,Breast cancer subtype 4
113,Breast cancer subtype 5
114,Breast cancer subtype 5
115,Breast cancer subtype 4
116,Breast cancer subtype 4
117,Breast cancer subtype 5
118,Breast cancer subtype 4
119,Breast cancer subtype 4
120,Breast cancer subtype 4
121,Breast cancer subtype 1
122,Breast cancer subtype 4
123,Breast cancer subtype 4
124,Breast cancer subtype 4
125,Breast cancer subtype 1
126,Breast cancer subtype 5
127,Breast cancer subtype 4
128,Breast cancer subtype 4
129,Breast cancer subtype 4
130,Breast cancer subtype 4
131,Breast cancer subtype 4
132,Breast cancer subtype 1
133,Breast cancer subtype 4
134,Breast cancer subtype 4
135,Breast cancer subtype 4
136,Breast myoepithelial cells
137,Breast myoepithelial cells
138,Breast cancer subtype 5
139,Breast myoepithelial cells
140,Breast cancer subtype 4
141,Breast cancer subtype 4
142,Breast myoepithelial cells
143,Macrophages
144,Breast cancer subtype 5
145,Breast cancer subtype 4
146,Breast cancer subtype 4
147,Breast cancer subtype 4
148,Breast cancer subtype 4
149,Breast cancer subtype 4
150,Breast cancer subtype 1
151,Breast cancer subtype 4
152,Breast cancer subtype 4
153,Breast cancer subtype 4
154,Breast cancer subtype 4
155,Breast cancer subtype 4
156,Breast cancer subtype 4
157,Breast cancer subtype 4
158,Breast cancer subtype 4
159,Breast cancer subtype 4
160,Breast cancer subtype 4
161,Breast cancer subtype 4
162,Breast cancer subtype 4
163,Breast myoepithelial cells
164,Macrophages
165,Breast cancer subtype 4
166,Endothelial cells
167,Breast cancer subtype 4
168,Macrophages
169,Smooth muscle cells
170,Breast cancer subtype 4
171,Breast cancer subtype 4
172,Endothelial cells
173,Breast myoepithelial cells
174,Breast cancer subtype 4
175,T cells
177,Breast cancer subtype 4
178,Breast cancer subtype 4
180,Breast cancer subtype 4
182,Breast cancer subtype 4
184,Breast cancer subtype 5
185,Breast cancer subtype 4
186,Breast cancer subtype 4
188,Macrophages
189,Macrophages
192,Macrophages
193,Breast cancer subtype 4
195,Breast cancer subtype 4
196,Breast cancer subtype 1
197,Breast cancer subtype 4
198,Breast cancer subtype 4
199,Breast cancer subtype 4
201,Breast cancer subtype 5
202,Breast cancer subtype 4
203,Macrophages
204,Breast cancer subtype 4
205,Breast cancer subtype 5
206,Breast cancer subtype 5
207,Breast cancer subtype 5
208,Breast cancer subtype 5
209,Breast cancer subtype 4
210,Breast cancer subtype 4
211,Breast cancer subtype 4
212,Breast cancer subtype 4
213,Breast cancer subtype 5
214,Breast cancer subtype 4
215,Breast cancer subtype 4
216,Breast cancer subtype 5
217,Breast cancer subtype 1
218,Breast cancer subtype 2
219,Breast cancer subtype 2
220,Breast cancer subtype 4
221,Breast cancer subtype 4
222,Breast cancer subtype 4
223,Breast cancer subtype 4
224,Breast cancer subtype 4
225,Breast cancer subtype 4
226,Breast cancer subtype 4
227,Breast cancer subtype 4
228,Breast cancer subtype 4
229,Breast cancer subtype 4
230,Breast cancer subtype 4
231,Breast cancer subtype 4
232,Breast cancer subtype 4
233,Breast cancer subtype 5
234,Breast cancer subtype 4
235,Breast cancer subtype 4
236,Breast cancer subtype 4
237,Breast cancer subtype 4
238,Breast cancer subtype 4
239,Breast cancer subtype 4
240,Breast cancer subtype 4
241,Breast cancer subtype 4
242,Breast cancer subtype 4
243,Breast cancer subtype 4
244,Breast cancer subtype 4
245,Breast cancer subtype 4
246,Breast cancer subtype 4
247,Breast cancer subtype 4
248,Breast cancer subtype 4
249,Macrophages
250,Smooth muscle cells
251,Endothelial cells
252,Endothelial cells
253,Breast cancer subtype 1
254,Breast cancer subtype 1
255,Breast cancer subtype 1
256,Breast cancer subtype 1
257,Breast cancer subtype 1
258,Breast cancer subtype 1
259,Breast cancer subtype 1
260,Breast cancer subtype 1
261,Breast cancer subtype 1
262,Breast cancer subtype 1
